model,k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
XGBoost,325,0.9399185128596892,0.02769286244067252,0.924141722475056,0.04531088858795162,0.9389418899579327,0.027138400308993588
XGBoost,300,0.9399185128596892,0.02769286244067252,0.924141722475056,0.04531088858795162,0.9389418899579327,0.027138400308993588
XGBoost,275,0.9340361599185127,0.023334152453471074,0.9142651792651794,0.03777825815033539,0.9337131317879981,0.022467096905300642
CatBoost,325,0.9217366946778711,0.056658736776908254,0.9102705936039271,0.05668537160310553,0.9248323631211331,0.048254856014057976
LightGBM,325,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747
HistGradientBoosting,300,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747
CatBoost,300,0.915676088617265,0.06791426109910186,0.9064244397577731,0.0617048612084871,0.9183055565943267,0.0600311260186341
LightGBM,300,0.915676088617265,0.06791426109910186,0.9043898077231411,0.06457333954433873,0.9176548941254824,0.06123350973183832
RandomForest,250,0.9158543417366947,0.04515836394253218,0.9043458701792035,0.04897766490964423,0.9171636849979097,0.04114853978000348
RandomForest,325,0.9158543417366947,0.04515836394253218,0.9033449883449884,0.04974693510729946,0.9161776340118586,0.042680651327557446
HistGradientBoosting,325,0.915676088617265,0.05924878467936139,0.9030129746796414,0.060906386804415485,0.9164503074663501,0.05474104543904989
RandomForest,275,0.9097937356760886,0.054797824185434635,0.900435613768947,0.0529770202804683,0.9121442599784846,0.04894061452424973
RandomForest,300,0.9097937356760886,0.06406816612104217,0.9001079013579012,0.05894300148277575,0.9101086524883316,0.06196167312403115
ExtraTrees_regularized,325,0.9096154825566589,0.06406615397682713,0.8969788236454903,0.06474420691455962,0.9091093655799538,0.06104329300083302
ExtraTrees_regularized,300,0.9035548764960529,0.07320985391036583,0.8931143547810214,0.06930863097450707,0.9041676406382289,0.06841517726733623
ExtraTrees_deep,325,0.9035548764960529,0.07320985391036583,0.892584884251551,0.06997731757085289,0.9039303022190722,0.0687850882979214
XGBoost,250,0.9279755538579068,0.03152416740704624,0.8905580684747353,0.05685538940158561,0.9252619533368195,0.03136312135318008
ExtraTrees_deep,300,0.8974942704354468,0.08311883601414619,0.8890234456901123,0.07471005461122208,0.8992089629522784,0.07638478186650968
HistGradientBoosting,275,0.9040794499618029,0.049285044967720654,0.8880859264192598,0.04409111667022386,0.9055649836398499,0.044421229791152726
LightGBM,275,0.8983651642475172,0.056730790968699325,0.8844627594627594,0.044101439906406595,0.9015632210926329,0.049790320438878134
ExtraTrees_deep,275,0.880183346065699,0.0698948390422632,0.8727704394371061,0.05670956583615569,0.881745250194448,0.06192113909128615
ExtraTrees_deep,250,0.8741227400050929,0.06568491566925293,0.8700454175454176,0.05653854583520791,0.8778093208039733,0.056368747267580496
ExtraTrees_regularized,275,0.8800152788388083,0.0699550651856528,0.8683933350600018,0.054672698871988445,0.8822901954452756,0.06236528415884949
ExtraTrees_regularized,250,0.8800152788388083,0.0699550651856528,0.8683933350600018,0.054672698871988445,0.8822901954452756,0.06236528415884949
HistGradientBoosting,250,0.8980188439011968,0.05368895547350064,0.8641802025135359,0.06873942358500258,0.8967495566426047,0.051386315347341574
LightGBM,250,0.8919582378405908,0.0632230120050778,0.8632001332001332,0.0672571507014165,0.8940973939904421,0.05645144065415108
CatBoost,275,0.886243952126305,0.04134625048516111,0.8616796475129807,0.03685146691131249,0.8963730308115334,0.03680609658227809
CatBoost,250,0.8620015278838808,0.06367487801062024,0.8250213983547316,0.06714571860572797,0.8732692658895868,0.058469789629561106
